Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
1979,,"112,691 ",31.4 ,"22,860 ",24.4 ,"111,234 ",31.0 ,"212,241 ",34.1 ,"68,251 ",23.2 ,"6,206 ",26.9 ,"33,521 ",48.5 ,"3,256 ","75,934 ",40.9 ,"25,073 ",28.5 ,"83,437 ",36.6 ,"16,113 ",40.5 ,
1980,,"143,619 ",27.4 ,"28,366 ",24.1 ,"144,361 ",29.8 ,"271,816 ",28.1 ,"86,233 ",26.3 ,"8,072 ",30.1 ,"46,311 ",38.2 ,"3,745 ","98,365 ",29.5 ,"29,090 ",16.0 ,"107,747 ",29.1 ,"20,450 ",26.9 ,
1981,,"173,578 ",20.9 ,"33,487 ",18.1 ,"176,213 ",22.1 ,"333,359 ",22.6 ,"103,722 ",20.3 ,"11,844 ",46.7 ,"56,694 ",22.4 ,"3,953 ","121,972 ",24.0 ,"35,174 ",20.9 ,"133,557 ",24.0 ,"26,224 ",28.2 ,
1982,,"196,005 ",12.9 ,"37,231 ",11.2 ,"194,899 ",10.6 ,"361,246 ",8.4 ,"119,980 ",15.7 ,"14,190 ",19.8 ,"59,326 ",4.6 ,"1,403 ","126,499 ",3.7 ,"39,848 ",13.3 ,"136,512 ",2.2 ,"28,729 ",9.6 ,
1983,,"217,281 ",10.9 ,"40,651 ",9.2 ,"213,359 ",9.5 ,"417,749 ",15.6 ,"139,352 ",16.1 ,"16,059 ",13.2 ,"53,619 ",-9.6 ,"4,329 ","158,146 ",25.0 ,"46,244 ",16.1 ,"165,810 ",21.5 ,"34,658 ",20.6 ,
1984,,"261,992 ",20.6 ,"48,536 ",19.4 ,"241,026 ",13.0 ,"513,385 ",22.9 ,"159,288 ",14.3 ,"17,765 ",10.6 ,"58,170 ",8.5 ,"5,803 ","216,862 ",37.1 ,"55,497 ",20.0 ,"208,760 ",25.9 ,"42,633 ",23.0 ,
1985,,"278,128 ",6.2 ,"50,975 ",5.0 ,"250,206 ",3.8 ,"539,236 ",5.0 ,"170,924 ",7.3 ,"19,484 ",9.7 ,"58,329 ",0.3 ,"1,469 ","229,323 ",5.7 ,"59,707 ",7.6 ,"213,484 ",2.3 ,"47,624 ",11.7 ,
1986,,"320,525 ",15.2 ,"58,018 ",13.8 ,"291,346 ",16.4 ,"626,953 ",16.3 ,"193,870 ",13.4 ,"22,369 ",14.8 ,"68,924 ",18.2 ,"6,183 ","265,929 ",16.0 ,"69,678 ",16.7 ,"249,479 ",16.9 ,"56,949 ",19.6 ,
1987,,"394,770 ",23.2 ,"70,741 ",21.9 ,"353,660 ",21.4 ,"798,844 ",27.4 ,"225,960 ",16.6 ,"24,792 ",10.8 ,"93,162 ",35.2 ,"9,746 ","355,931 ",33.8 ,"89,253 ",28.1 ,"331,566 ",32.9 ,"72,508 ",27.3 ,
1988,,"466,076 ",18.1 ,"82,820 ",17.1 ,"424,474 ",20.0 ,"984,386 ",23.2 ,"263,832 ",16.8 ,"28,500 ",15.0 ,"118,010 ",26.7 ,"14,132 ","455,386 ",27.9 ,"104,526 ",17.1 ,"426,079 ",28.5 ,"92,231 ",27.2 ,
